player_name,conference,games_played,mp,ppg,rpg,apg,spg,bpg,to,fg%,3p%,2p%,ft%,Salary
Damian Lillard,EAST,73,35.3,23.4,4.4,7.0,1.0,0.2,2.6,0.424,0.354,0.49,0.92,45640084
Tyrese Haliburton,EAST,69,32.2,20.1,3.9,10.9,1.2,0.7,2.3,0.477,0.364,0.477,0.855,5808435
Giannis Antetekounmpo,EAST,73,35.2,30.4,11.5,6.5,1.2,1.1,3.4,0.611,0.274,0.675,0.657,45640084
Jayson Tatum,EAST,74,35.7,26.9,8.1,4.9,1.0,0.6,2.5,0.46,0.376,0.542,0.833,32600060
Bam Adebayo,EAST,71,30.0,19.3,8.7,3.9,1.1,0.9,2.2,0.521,0.357,0.554,0.755,32600060
Jaylen Brown,EAST,70,30.2,23.0,5.5,3.6,1.2,0.5,2.4,0.499,0.354,0.57,0.703,31830357
Paolo Banchero,EAST,80,34.4,22.6,6.9,5.4,0.9,0.6,3.1,0.455,0.321,0.483,0.731,11608080
Scottie Barnes,EAST,60,35.0,19.9,7.4,6.1,1.3,1.5,2.8,0.479,0.341,0.536,0.781,8008680
Jalen Brunson,EAST,77,35.4,28.7,3.6,6.7,0.9,0.2,2.4,0.45,0.401,0.516,0.841,26346666
Tyrese Maxey,EAST,70,37.5,25.9,3.7,6.2,1.0,0.5,1.7,0.476,0.396,0.501,0.865,4343920
Donovan Mitchell,EAST,55,35.3,26.6,5.1,6.1,1.8,0.5,2.8,0.462,0.368,0.539,0.874,33162030
Trae Young,EAST,54,36.0,25.7,2.8,10.8,1.3,0.2,4.4,0.43,0.373,0.479,0.855,40064220
Shai-Gilgeous Alexander,WEST,75,34.0,30.1,5.5,6.2,2.0,0.9,2.2,0.535,0.353,0.576,0.874,33386850
Kevin Durant,WEST,75,37.2,27.1,6.6,5.0,0.9,1.2,3.3,0.523,0.413,0.521,0.856,47649433
Nikola Jokic,WEST,79,34.6,26.4,12.4,9.0,1.4,0.9,3.0,0.583,0.359,0.626,0.817,47607350
Luka Doncic,WEST,70,37.5,33.9,9.2,8.9,1.4,0.5,4.0,0.487,0.347,0.573,0.786,40064220
LeBron James,WEST,71,35.3,25.7,7.3,8.3,1.3,0.5,3.5,0.54,0.41,0.592,0.75,47607350
Karl-Anthony Towns,WEST,62,32.7,21.8,8.3,3.0,0.7,0.7,2.9,0.507,0.416,0.55,0.873,36016200
Stephen Curry,WEST,74,32.7,26.4,4.5,5.1,0.7,0.4,2.8,0.45,0.408,0.515,0.923,51915615
Anthony Davis,WEST,76,35.5,24.7,12.6,3.5,1.2,2.3,2.1,0.556,0.271,0.582,0.816,40600080
Devin Booker,WEST,68,36.0,27.1,4.5,6.9,0.9,0.4,2.6,0.492,0.364,0.552,0.886,36016200
Anthony Edwards,WEST,79,34.4,25.9,5.4,5.1,1.3,0.5,3.1,0.461,0.357,0.515,0.836,13534817
Kawhi Leonard,WEST,68,34.3,23.7,6.1,3.6,1.6,0.9,1.8,0.525,0.417,0.569,0.885,4564084
Paul George,WEST,74,33.8,22.6,5.2,3.5,1.5,0.5,2.1,0.471,0.413,0.523,0.907,45640084
